Date,Advancers,Decliners,Neutral
1998-02-27,401,353,99
1998-03-02,434,319,101
1998-03-03,428,335,92
1998-03-04,292,465,98
1998-03-05,188,558,109
1998-03-06,600,172,83
1998-03-09,374,396,85
1998-03-10,512,242,101
1998-03-11,462,309,85
1998-03-12,383,365,108
1998-03-13,375,359,123
1998-03-16,500,275,82
1998-03-17,384,382,91
1998-03-18,385,358,114
1998-03-19,473,291,93
1998-03-20,450,303,104
1998-03-23,320,439,98
1998-03-24,460,288,109
1998-03-25,363,399,95
1998-03-26,362,404,91
1998-03-27,303,447,107
1998-03-30,315,427,115
1998-03-31,542,234,82
1998-04-01,416,345,97
1998-04-02,474,298,86
1998-04-03,389,368,102
1998-04-06,323,440,96
1998-04-07,215,548,96
1998-04-08,315,456,88
1998-04-09,516,249,94
1998-04-13,333,451,75
1998-04-14,497,257,106
1998-04-15,407,359,94
1998-04-16,255,505,100
1998-04-17,464,287,109
1998-04-20,349,415,96
1998-04-21,417,346,97
1998-04-22,347,394,119
1998-04-23,208,553,99
1998-04-24,208,547,105
1998-04-27,85,714,61
1998-04-28,444,325,92
1998-04-29,509,248,104
1998-04-30,610,173,78
1998-05-01,472,292,97
1998-05-04,396,375,90
1998-05-05,264,488,109
1998-05-06,267,497,97
1998-05-07,240,522,99
1998-05-08,492,255,114
1998-05-11,341,426,94
1998-05-12,353,402,107
1998-05-13,350,407,105
1998-05-14,315,438,110
1998-05-15,274,468,122
1998-05-18,223,549,92
1998-05-19,462,310,92
1998-05-20,395,364,105
1998-05-21,336,412,116
1998-05-22,273,484,107
1998-05-26,183,594,89
1998-05-27,201,572,93
1998-05-28,525,240,101
1998-05-29,406,350,110
1998-06-01,320,435,111
1998-06-02,382,386,98
1998-06-03,324,440,102
1998-06-04,434,310,124
1998-06-05,555,207,106
1998-06-08,406,341,121
1998-06-09,344,415,109
1998-06-10,226,547,95
1998-06-11,187,610,71
1998-06-12,292,475,101
1998-06-15,132,651,85
1998-06-16,483,281,104
1998-06-17,572,227,69
1998-06-18,257,512,99
1998-06-19,295,477,96
1998-06-22,395,364,110
1998-06-23,481,297,91
1998-06-24,489,298,82
1998-06-25,344,426,100
1998-06-26,425,341,104
1998-06-29,480,292,98
1998-06-30,430,344,97
1998-07-01,526,268,78
1998-07-02,384,402,87
1998-07-06,459,321,93
1998-07-07,397,375,101
1998-07-08,442,325,106
1998-07-09,298,471,104
1998-07-10,340,408,125
1998-07-13,341,434,98
1998-07-14,492,268,113
1998-07-15,374,394,105
1998-07-16,478,289,106
1998-07-17,354,403,116
1998-07-20,329,430,114
1998-07-21,192,587,94
1998-07-22,279,494,100
1998-07-23,140,648,85
1998-07-24,274,508,91
1998-07-27,235,547,91
1998-07-28,174,610,89
1998-07-29,355,418,101
1998-07-30,519,249,106
1998-07-31,159,621,94
1998-08-03,237,545,92
1998-08-04,108,696,70
1998-08-05,339,439,96
1998-08-06,481,296,98
1998-08-07,532,250,93
1998-08-10,262,516,97
1998-08-11,111,694,70
1998-08-12,606,193,76
1998-08-13,267,501,107
1998-08-14,328,445,102
1998-08-17,460,307,108
1998-08-18,561,211,103
1998-08-19,296,487,93
1998-08-20,293,481,102
1998-08-21,191,606,79
1998-08-24,389,381,106
1998-08-25,350,428,98
1998-08-26,153,627,96
1998-08-27,71,751,54
1998-08-28,236,559,81
